loan_status_1,purpose,loan_amnt,inq_last_6mths,revol_util,pub_rec_bankruptcies,ln_annual_inc
0,debt_consolidation,12500,3,50,0,10.20359214
0,other,9600,0,18.1,0,11.12732181
0,debt_consolidation,12000,0,21,0,11.0397167
0,other,3000,0,98.1,0,11.08214255
0,debt_consolidation,4400,0,99,0,10.91508846
0,debt_consolidation,6000,1,32.5,0,10.727663
0,small_business,14000,1,13.4,0,11.28978191
1,debt_consolidation,5000,0,62.1,0,11.51292546
0,other,10000,0,52.3,0,10.20359214
0,credit_card,10000,1,19.5,0,11.00209984
0,debt_consolidation,11000,0,36.4,0,11.15625052
1,debt_consolidation,15000,2,63.7,0,11.28978191
0,credit_card,25600,0,62,0,11.60823564
0,debt_consolidation,7000,0,92.9,0,10.59663473
1,car,12000,2,90.8,0,10.81977828
0,credit_card,12000,1,52.1,0,10.73639668
1,debt_consolidation,21000,1,97.6,0,10.81977828
0,credit_card,16000,3,75.1,0,11.30220443
0,debt_consolidation,10000,0,72.7,0,10.57131693
0,credit_card,10000,3,59.1,0,10.84739345
0,debt_consolidation,7100,2,91.2,0,10.40426284
0,debt_consolidation,13000,0,58.9,0,10.30895266
0,small_business,17500,1,58.9,0,10.59663473
0,debt_consolidation,17675,2,57.4,0,10.81977828
0,debt_consolidation,8000,3,66.9,0,11.03488966
1,debt_consolidation,10000,1,30.1,0,10.73630972
0,debt_consolidation,3500,1,45.9,0,10.91508846
1,debt_consolidation,12500,0,70.8,1,10.30895266
0,debt_consolidation,16425,1,83.4,0,10.70423274
1,small_business,8200,3,73.9,0,11.22524339
0,credit_card,15000,1,79.5,0,11.01862914
0,credit_card,20975,0,79.4,1,10.69194491
1,debt_consolidation,6400,0,67.5,0,11.22524339
0,debt_consolidation,3000,0,83.2,0,10.42228135
0,credit_card,12000,1,97,0,10.81977828
0,debt_consolidation,14400,0,55,0,11.91839057
0,debt_consolidation,12000,2,78.5,0,11.40756495
0,debt_consolidation,11000,3,65,0,10.77895629
0,debt_consolidation,7250,2,91.2,1,11.22524339
0,small_business,15000,1,6.7,0,10.858999
0,debt_consolidation,18000,0,77.8,0,11.08214255
0,home_improvement,35000,1,53.3,0,11.91839057
0,credit_card,10000,1,81.3,0,11.12726298
0,credit_card,11800,0,74.8,0,10.6454249
0,major_purchase,4500,0,13.9,0,10.87804719
0,credit_card,7000,2,82.3,0,10.46310334
0,debt_consolidation,9200,3,78.7,0,11.00209984
0,other,14000,2,79.4,0,10.23995979
0,car,4500,0,78.3,0,10.6454249
0,debt_consolidation,12000,0,96.4,0,11.38923124
0,debt_consolidation,12000,1,27.6,0,11.1844214
0,credit_card,12000,0,78.4,0,11.03488966
0,credit_card,7000,0,78.1,0,10.68464561
0,debt_consolidation,8200,2,88.4,0,11.69524702
0,medical,10500,2,51.2,0,11.09741002
0,debt_consolidation,7000,0,52.4,0,10.57438912
0,credit_card,15300,2,89.7,0,11.35040654
0,debt_consolidation,20000,0,46.3,0,10.77478092
1,credit_card,17500,2,86.1,0,10.71441777
0,car,3500,0,13.4,0,11.32659589
0,major_purchase,6000,0,50,0,11.30220443
1,debt_consolidation,6200,2,47.7,0,10.1266311
0,debt_consolidation,16000,0,87.1,0,11.08214255
0,debt_consolidation,6000,0,36.8,0,10.26813067
0,credit_card,7200,0,79.6,0,11.81303006
0,credit_card,9500,0,60.5,0,10.81977828
1,debt_consolidation,18825,0,79.7,0,10.54534144
0,debt_consolidation,24000,0,55.2,0,10.71441777
0,debt_consolidation,6000,0,83.8,0,11.28978191
0,debt_consolidation,6000,1,91.5,0,10.81977828
0,vacation,2100,1,82.9,0,10.30895266
0,small_business,5500,0,21.9,0,11.60823564
0,debt_consolidation,11000,0,58.7,0,10.72783842
0,debt_consolidation,26800,0,48,0,11.69524702
0,debt_consolidation,8000,0,97.7,0,10.46310334
1,credit_card,10000,0,96.3,0,11.22524339
0,credit_card,8000,0,46.5,0,10.46310334
0,debt_consolidation,10000,0,49.5,0,10.08580911
0,debt_consolidation,12000,0,54.1,0,11.74403719
0,debt_consolidation,10000,0,37.2,0,10.66895539
0,debt_consolidation,12000,1,29.3,0,10.81977828
1,credit_card,25000,0,91.2,0,11.1124479
1,debt_consolidation,19750,0,54.2,0,10.71441777
0,debt_consolidation,10000,0,27,0,10.34817337
0,debt_consolidation,13650,0,56.5,0,11.09741002
1,debt_consolidation,28000,0,87.6,0,10.858999
0,debt_consolidation,18000,0,76.6,0,10.95017477
0,debt_consolidation,2500,1,37.7,0,10.80972795
0,credit_card,21000,2,70.7,0,11.15625052
0,debt_consolidation,35000,0,34.8,0,11.73606902
0,credit_card,10000,1,0.6,0,10.40426284
0,credit_card,7000,2,47.6,0,10.30895266
1,home_improvement,24000,1,71.2,0,11.40756495
0,medical,10625,1,43.4,0,10.04324949
0,debt_consolidation,5000,2,33.3,0,10.08580911
0,credit_card,8850,0,35.9,0,11.03488966
0,debt_consolidation,6375,0,58,0,10.69194491
0,credit_card,6000,0,56.6,0,11.40756495
1,credit_card,11100,1,62.3,0,10.62132735
0,debt_consolidation,10000,1,31.2,0,10.93310697
0,small_business,6200,0,16,0,10.18490001
0,debt_consolidation,15000,2,90.3,0,10.89673933
0,other,4200,0,79.7,0,10.87804719
0,debt_consolidation,14000,1,70.8,0,10.87426647
0,debt_consolidation,8875,1,62.1,0,10.54534144
0,debt_consolidation,13500,1,67.3,0,10.54534144
1,debt_consolidation,12000,2,65.4,0,10.6454249
0,debt_consolidation,16000,0,72.4,0,10.91508846
0,debt_consolidation,21600,0,78.1,0,11.00209984
0,home_improvement,6000,0,40.5,0,11.3736634
0,debt_consolidation,8450,2,83.5,0,10.1266311
0,credit_card,20000,0,61.4,0,11.31447453
1,debt_consolidation,10000,0,29.3,0,11.00209984
0,credit_card,12000,0,97.2,0,11.28978191
1,credit_card,13475,1,65.8,0,10.1266311
0,major_purchase,7200,1,80.2,0,10.77895629
1,debt_consolidation,5600,3,90.8,0,11.35040654
0,debt_consolidation,12000,1,81.5,0,10.95080655
0,credit_card,8500,0,28,0,10.1266311
0,credit_card,8000,0,78.5,0,10.4341158
0,credit_card,8000,0,88.2,0,10.59663473
0,debt_consolidation,16000,1,92.3,0,10.6609326
0,house,15000,0,91.6,1,10.70099475
0,debt_consolidation,10000,1,66.8,0,10.30895266
0,credit_card,10000,0,69,0,11.15625052
0,car,8000,1,54.3,0,10.23995979
0,debt_consolidation,22000,4,49.8,0,10.81977828
0,car,6000,1,95.9,0,11.45952469
0,debt_consolidation,16000,1,28.5,0,10.59663473
0,credit_card,13500,1,67.2,0,10.49127422
0,debt_consolidation,25000,0,34.6,0,12.32385568
0,small_business,10000,2,48.3,0,10.7342204
0,debt_consolidation,2500,0,68.1,0,10.21097225
0,debt_consolidation,7325,3,65,0,10.6454249
0,credit_card,4000,3,85.7,0,11.81303006
1,small_business,10000,2,69.5,0,11.08214255
1,debt_consolidation,7750,1,67.1,0,10.08580911
1,debt_consolidation,20000,1,79.9,0,11.15625052
0,debt_consolidation,9600,0,70.9,0,11.08214255
1,debt_consolidation,21000,0,79.9,0,11.00209984
0,credit_card,14000,0,65.6,0,10.30895266
0,debt_consolidation,13350,0,95.3,0,10.66895539
1,debt_consolidation,15000,2,74.9,0,10.6454249
1,debt_consolidation,15000,0,75.9,0,11.22524339
0,debt_consolidation,11000,0,24.1,0,11.76756768
0,debt_consolidation,35000,1,1.4,0,12.03171926
0,credit_card,9000,0,71.7,0,11.21182037
0,debt_consolidation,22475,1,61.8,0,10.858999
1,debt_consolidation,16000,0,89.3,0,10.97678203
0,debt_consolidation,13500,2,77.7,0,11.17043516
0,debt_consolidation,24000,0,84.6,0,11.22524339
0,credit_card,12000,1,48.8,0,11.00209984
0,major_purchase,8400,0,80.3,0,11.38504664
0,home_improvement,28000,1,13.4,0,11.8493977
0,debt_consolidation,14000,1,35.4,0,11.09741002
1,other,12000,1,86.2,0,11.15625052
0,debt_consolidation,25000,1,89.1,0,11.51292546
0,debt_consolidation,9000,1,55.4,0,10.81977828
0,debt_consolidation,13250,2,58.7,0,10.46310334
0,debt_consolidation,20000,1,90.8,0,11.22524339
0,medical,3000,1,88.7,0,11.17043516
0,debt_consolidation,7350,0,77.5,0,10.77895629
0,debt_consolidation,11500,1,76.7,0,10.49127422
1,debt_consolidation,13650,1,73.4,0,11.36210258
1,debt_consolidation,10500,1,55.5,0,10.30895266
0,debt_consolidation,12000,0,85.7,0,11.00209984
0,credit_card,6000,2,64.8,0,10.4341158
0,credit_card,11500,1,90,0,10.69648007
0,debt_consolidation,7000,1,71.6,0,11.31447453
0,debt_consolidation,29500,0,89.8,0,11.32659589
0,moving,2000,1,96.4,0,10.62132735
0,credit_card,11625,1,84.7,0,10.49127422
1,debt_consolidation,15075,1,89.6,0,10.46310334
0,credit_card,5300,2,82.7,0,10.30895266
0,home_improvement,8200,1,25.5,0,10.59663473
0,credit_card,12000,1,75,0,11.56171563
0,credit_card,8650,2,58.9,0,10.71441777
0,debt_consolidation,21000,0,50.3,0,11.59910316
0,debt_consolidation,16000,0,42.2,0,10.81977828
0,debt_consolidation,12000,2,51.1,0,11.32659589
1,moving,9500,2,75.3,0,10.86856845
0,debt_consolidation,7400,0,92.8,0,10.1266311
0,debt_consolidation,14400,1,65,0,11.00209984
0,debt_consolidation,24250,3,99,0,11.69524702
1,debt_consolidation,7200,0,82.9,0,11.12726298
1,home_improvement,26000,1,72.7,0,10.87804719
1,credit_card,7000,0,90.9,0,11.15051985
0,major_purchase,4000,0,50.7,0,11.08214255
0,debt_consolidation,1500,0,97.8,0,11.87756858
0,credit_card,19600,0,50.1,0,11.22524339
0,debt_consolidation,2500,0,66.7,0,10.27505111
1,credit_card,10000,0,70.2,0,11.15625052
0,credit_card,10000,0,70.4,0,10.71441777
0,other,4225,1,73.7,0,10.91871823
0,vacation,3500,0,55.5,0,11.02581637
0,debt_consolidation,12000,0,80.3,0,10.93310697
0,debt_consolidation,16500,1,38.8,0,10.75790288
0,debt_consolidation,22000,1,79.4,0,10.91508846
0,credit_card,12000,2,71,0,11.17043516
1,vacation,15600,1,35.7,0,10.81977828
0,credit_card,10800,0,74.5,0,11.81303006
0,credit_card,14000,0,97.8,0,11.05089001
0,debt_consolidation,18825,0,93.2,0,10.69194491
0,debt_consolidation,6000,1,83.6,0,10.81977828
0,debt_consolidation,12000,0,67.7,0,11.28978191
0,debt_consolidation,10000,0,51.6,0,10.71441777
0,vacation,8000,1,55.9,0,11.26446411
0,debt_consolidation,14125,3,66,0,10.40426284
0,debt_consolidation,14000,1,64.5,0,11.04771035
0,small_business,13200,3,50.1,0,10.18111929
0,vacation,4000,2,22.6,0,11.28978191
1,debt_consolidation,4000,3,79.7,0,10.1266311
0,debt_consolidation,10500,0,18.7,0,11.08214255
0,car,5500,0,43.3,0,10.98529272
0,debt_consolidation,7350,1,77.9,0,10.40426284
1,credit_card,10000,1,90.6,0,10.57131693
0,debt_consolidation,12000,1,43,0,10.6454249
0,home_improvement,5000,0,57.3,0,10.5454467
0,other,8000,3,34.4,0,10.34174248
0,other,4500,0,24.4,0,10.83368119
0,credit_card,18000,2,66.1,0,11.22524339
0,debt_consolidation,12300,1,55.5,0,10.30895266
0,debt_consolidation,12000,0,80.5,0,10.59663473
0,credit_card,10000,2,47.6,0,10.81977828
0,other,6000,4,30.3,0,11.28978191
0,debt_consolidation,12000,1,55.5,0,10.59663473
1,other,12000,0,83.5,0,11.28978191
0,debt_consolidation,7000,0,94.1,0,11.22524339
0,debt_consolidation,35000,1,53,0,11.35040654
0,other,1400,1,9.9,0,10.26813067
1,small_business,16000,1,58.5,0,10.46310334
0,debt_consolidation,3200,0,33.3,1,11.02190247
0,medical,8000,0,34.4,0,10.59663473
1,debt_consolidation,11875,0,94.1,0,10.16277015
0,home_improvement,5000,0,4,0,10.89673933
0,small_business,1800,0,39.8,0,9.798127037
0,debt_consolidation,35000,0,61.5,0,11.35040654
0,credit_card,18000,1,66.3,0,11.26446411
1,debt_consolidation,14000,0,63.9,0,10.727663
0,debt_consolidation,5000,1,54.2,0,11.15625052
0,credit_card,8000,2,91.9,0,11.15625052
0,debt_consolidation,10000,0,45.2,0,11.28978191
0,debt_consolidation,10000,2,25.7,0,10.81977828
0,debt_consolidation,12000,0,75.7,0,10.46310334
0,debt_consolidation,23200,0,47,0,11.08214255
0,credit_card,18000,3,83.2,0,11.33857208
0,debt_consolidation,4800,1,73.7,0,11.22524339
0,debt_consolidation,7300,1,44.6,0,10.46310334
0,debt_consolidation,10400,2,80.6,0,10.59663473
0,house,6600,2,27.8,0,11.51292546
0,debt_consolidation,12000,0,37.4,0,10.59663473
0,debt_consolidation,13250,0,91.5,0,10.858999
0,debt_consolidation,12000,2,56.2,0,11.43496392
0,debt_consolidation,25000,0,49.4,0,11.01862914
0,other,6000,1,48.5,0,10.49127422
0,credit_card,12000,1,55.6,0,11.12726298
0,credit_card,14400,1,48.4,0,11.28978191
0,credit_card,10000,0,65.5,0,10.66895539
0,credit_card,8000,0,56.2,0,11.91839057
1,credit_card,8000,0,72.9,0,10.81977828
1,small_business,30000,0,3.2,0,11.15625052
1,home_improvement,18000,3,73.4,0,10.59663473
0,credit_card,13250,1,67.2,0,10.46310334
0,debt_consolidation,14000,0,96.2,0,11.28978191
1,debt_consolidation,20000,2,83.1,0,10.98529272
0,credit_card,10000,1,96.4,0,10.59663473
0,debt_consolidation,35000,0,74.5,0,11.35040654
0,debt_consolidation,4000,0,43.8,0,10.91508846
0,debt_consolidation,13000,0,81.3,0,11.60823564
0,credit_card,28000,0,67.5,0,11.51292546
0,debt_consolidation,10000,0,79.1,0,11.03488966
0,debt_consolidation,20000,1,74.9,0,10.71441777
0,debt_consolidation,18000,1,62.5,0,11.60823564
1,credit_card,9000,1,91.1,0,11.00209984
1,debt_consolidation,25000,0,60.8,0,11.02679245
0,other,10000,0,88.3,0,10.40426284
0,credit_card,4200,0,12.9,0,11.01862914
1,debt_consolidation,20000,1,80.3,0,11.26722951
1,debt_consolidation,18000,2,86.7,0,11.03488966
0,debt_consolidation,24000,1,69.4,0,10.83887478
0,credit_card,4475,2,33.5,0,10.68464561
0,credit_card,20000,1,59.9,0,10.93310697
0,credit_card,12000,0,80.8,0,10.83368119
1,debt_consolidation,5000,2,89.7,0,10.30895266
0,other,3000,0,29.4,0,10.81977828
0,debt_consolidation,25000,2,91.5,0,11.22524339
0,credit_card,18000,1,85.2,0,11.40756495
1,debt_consolidation,12000,0,75.5,0,10.91508846
0,other,20000,1,52.7,0,10.81977828
0,debt_consolidation,10000,0,68.7,0,11.33857208
0,debt_consolidation,15000,0,74.9,0,11.9511804
0,debt_consolidation,12000,0,57.7,0,11.03488966
0,debt_consolidation,20000,0,34.1,0,12.07254125
0,credit_card,6300,1,84.3,0,10.30895266
0,credit_card,20000,1,56.7,0,10.81977828
0,debt_consolidation,35000,0,23.5,0,12.24529336
0,home_improvement,8250,1,7.7,0,10.46321762
0,home_improvement,20000,0,54.8,0,11.35040654
1,credit_card,10000,0,59.6,0,10.37349118
1,car,24000,4,8.1,0,11.66478781
0,debt_consolidation,14400,2,79.5,0,10.59663473
0,credit_card,6000,2,88.5,0,10.4341158
0,debt_consolidation,22000,1,85.1,0,11.19821472
1,debt_consolidation,12000,0,68.5,0,10.95430918
0,debt_consolidation,16000,1,64.2,0,11.64395373
0,debt_consolidation,10000,1,59.4,0,11.40756495
0,home_improvement,16000,0,56.2,0,10.89673933
1,debt_consolidation,10000,1,84.6,0,10.46310334
0,debt_consolidation,3500,2,54.2,0,10.93310697
0,debt_consolidation,9600,0,79,0,10.46310334
0,debt_consolidation,9875,1,63.7,0,10.59663473
0,debt_consolidation,21500,1,81.8,0,10.98529272
0,debt_consolidation,4800,1,26,0,10.77895629
0,major_purchase,7800,1,6.2,0,11.35040654
0,credit_card,20000,1,89,0,11.15625052
1,debt_consolidation,9750,1,51.7,0,10.46310334
0,credit_card,18000,2,67,0,11.41861479
0,other,5000,0,25.6,0,10.30895266
0,debt_consolidation,9000,1,50,1,10.71441777
0,debt_consolidation,7200,0,46.1,0,10.91508846
1,other,3000,2,79.4,0,10.87812266
1,credit_card,25000,0,94.9,0,11.00209984
0,debt_consolidation,25000,2,70.6,0,11.31447453
0,debt_consolidation,10000,1,77.2,0,10.87804719
1,debt_consolidation,8875,1,71.1,0,10.47333652
0,debt_consolidation,15550,0,89.8,0,10.89673933
0,debt_consolidation,17000,2,62.7,0,11.08214255
0,credit_card,7500,2,35.5,0,11.08214255
0,debt_consolidation,8875,0,69.5,0,10.26813067
0,credit_card,4500,0,68.5,0,10.6454249
0,debt_consolidation,5800,1,66.9,0,10.49127422
0,debt_consolidation,10000,1,47.4,0,10.59663473
0,credit_card,10000,0,88.6,0,10.81977828
0,credit_card,14000,1,57.9,0,10.858999
0,credit_card,25000,1,87.9,0,11.35040654
1,debt_consolidation,12000,0,59.2,0,10.37349118
0,debt_consolidation,24000,2,45,0,11.22524339
0,credit_card,14000,1,59,0,11.28978191
0,credit_card,12000,0,72.2,0,10.6027659
1,debt_consolidation,15000,1,65.7,0,10.30895266
1,debt_consolidation,8050,0,81.3,0,10.49127422
0,debt_consolidation,5600,0,12.4,1,11.00209984
0,credit_card,7500,0,57.3,0,10.34817337
0,credit_card,7000,0,93.8,0,11.40756495
0,debt_consolidation,5400,0,77,0,10.59663473
0,credit_card,16000,2,65.2,0,11.40756495
0,home_improvement,35000,0,25,0,11.56171563
1,debt_consolidation,6000,0,10,0,10.31174875
0,car,4125,4,37.6,0,10.49127422
0,credit_card,9800,2,44.9,0,11.1124479
0,debt_consolidation,15700,1,63,0,11.05089001
0,debt_consolidation,5000,0,56,0,12.52815614
0,debt_consolidation,9900,0,88.9,1,10.18111929
0,debt_consolidation,15000,0,82.2,0,11.1331281
0,debt_consolidation,6250,3,88.8,0,10.2791805
0,debt_consolidation,6400,1,94.6,0,10.2791805
0,major_purchase,8850,0,84.7,0,11.3977615
0,debt_consolidation,12000,1,61,0,10.89673933
0,debt_consolidation,15000,1,25.2,0,10.30895266
0,credit_card,6500,0,81.5,0,10.30895266
0,credit_card,8000,1,81.2,0,10.81977828
0,home_improvement,30000,2,74.5,0,11.42954386
0,credit_card,15000,2,74.3,0,11.51791301
0,debt_consolidation,10200,1,80.6,0,10.59663473
0,credit_card,9000,0,47.2,0,10.75790288
0,debt_consolidation,6500,1,92.4,0,11.12726298
0,debt_consolidation,23000,0,99.3,0,11.46163217
0,credit_card,2000,0,79.2,0,10.5865844
0,debt_consolidation,8000,2,44.1,0,10.30895266
0,debt_consolidation,8875,0,83.7,0,10.30895266
1,other,1500,3,99.8,0,9.740968623
0,debt_consolidation,8000,0,85.4,0,10.6454249
1,debt_consolidation,20000,2,74.9,0,11.22524339
0,credit_card,6500,0,63.8,0,10.6454249
0,debt_consolidation,9600,2,84.9,0,10.20359214
0,debt_consolidation,25975,0,77.2,0,11.77528973
0,home_improvement,10000,0,50.1,0,10.73639668
0,debt_consolidation,15000,1,53.7,0,11.28978191
0,debt_consolidation,9000,1,44,0,10.71441777
0,credit_card,10000,0,69.1,0,11.19134184
0,debt_consolidation,14000,0,62.3,0,10.30895266
1,debt_consolidation,8500,2,61.5,0,10.81977828
0,debt_consolidation,15000,2,75.9,0,11.22524339
0,other,4500,1,76.6,0,11.08214255
0,major_purchase,3000,0,56,0,11.08214255
0,home_improvement,10000,2,68.1,0,11.69524702
0,debt_consolidation,21250,2,62.7,0,10.65725935
1,debt_consolidation,33425,3,50.5,0,11.22524339
0,debt_consolidation,35000,2,66.1,0,12.18075484
0,debt_consolidation,7200,1,96,0,10.91490663
1,debt_consolidation,18000,0,68.8,0,10.59663473
0,debt_consolidation,23000,1,60.8,0,11.8277362
1,debt_consolidation,20000,2,41,0,11.00209984
0,debt_consolidation,6000,0,80.6,0,10.31294468
0,credit_card,7000,1,76.5,0,10.73639668
0,debt_consolidation,21000,1,63,0,11.81303006
0,credit_card,13000,0,75.9,0,11.08214255
0,debt_consolidation,18000,0,25,0,11.26446411
0,other,7200,0,6,0,11.00209984
0,credit_card,16500,0,87.1,0,10.77895629
0,debt_consolidation,8125,1,63.6,0,10.1266311
0,debt_consolidation,18800,0,17.3,0,11.31447453
0,credit_card,26800,1,98,0,11.31447453
0,debt_consolidation,19200,0,72.2,0,10.6454249
0,debt_consolidation,12875,1,86.1,0,10.22557105
0,credit_card,4000,1,52.7,0,10.54534144
0,debt_consolidation,4000,0,83.5,0,10.46310334
0,credit_card,12000,0,74.9,0,10.40426284
0,medical,2625,2,65.2,0,10.87426647
0,debt_consolidation,18000,1,62.6,0,10.61888534
0,debt_consolidation,7000,0,38.1,0,11.2102245
0,credit_card,11300,1,74.7,0,10.49127422
0,debt_consolidation,4000,3,85,0,11.77528973
0,debt_consolidation,8000,0,6.8,0,10.95430918
1,debt_consolidation,14400,0,79.3,0,10.85651515
0,debt_consolidation,4375,0,74.9,0,9.61580548
0,credit_card,4100,1,72.1,0,11.15906085
0,other,6000,3,31.4,0,10.75790288
1,debt_consolidation,4200,1,77,0,10.66895539
0,home_improvement,4000,1,24.4,0,11.69524702
1,other,3000,2,64.6,0,11.36214909
0,car,5400,0,68.7,0,11.22524339
1,small_business,15000,0,84.1,0,11.60823564
0,debt_consolidation,20000,0,88.5,0,11.28978191
0,credit_card,10400,2,90.1,0,10.69194491
0,debt_consolidation,4500,1,67.7,0,10.85127695
0,credit_card,11500,0,89.6,0,10.55841352
0,home_improvement,10000,2,5.9,0,11.22524339
0,debt_consolidation,18225,0,74.4,0,10.52728465
0,debt_consolidation,3600,0,65.9,0,10.91508846
0,major_purchase,18500,0,10.4,0,11.51292546
0,credit_card,16800,2,38.4,0,11.15625052
1,debt_consolidation,10000,1,92.5,0,11.12726298
0,debt_consolidation,15000,2,89.1,0,11.09741002
0,major_purchase,8000,1,35.7,0,11.35040654
0,debt_consolidation,25000,0,82.9,0,11.32664408
1,debt_consolidation,16000,0,81,0,10.83958091
0,debt_consolidation,8000,0,15.7,0,10.91508846
0,debt_consolidation,7200,0,83.5,0,10.75790288
0,debt_consolidation,12000,1,51.8,0,11.36210258
1,debt_consolidation,2200,3,83.7,0,10.77895629
0,other,20000,0,66.9,0,10.79957558
0,debt_consolidation,28000,1,58.7,0,11.35040654
0,debt_consolidation,6000,1,62.4,0,10.81977828
1,credit_card,25000,0,85.3,0,11.56171563
1,debt_consolidation,8000,0,37.6,0,10.84357293
0,debt_consolidation,14400,1,7.7,0,10.66886237
0,credit_card,20000,0,97.4,0,11.00209984
0,debt_consolidation,25000,0,91.7,0,11.35040654
0,major_purchase,14050,2,18.8,0,11.69524702
0,major_purchase,6000,0,94.4,0,11.04597318
0,debt_consolidation,16100,0,46,0,10.49127422
1,debt_consolidation,35000,2,76.5,0,11.35040654
0,debt_consolidation,10525,0,68.9,0,10.81311614
0,debt_consolidation,7200,1,94.2,0,10.30895266
0,debt_consolidation,18500,0,0.1,0,10.59663473
0,debt_consolidation,12000,2,74.4,0,10.59663473
0,credit_card,12000,0,79.6,0,11.51292546
0,other,3000,2,83.4,0,10.93866294
0,debt_consolidation,9500,1,79.5,0,10.89694301
0,debt_consolidation,19775,2,61.1,0,10.80182447
1,credit_card,12000,3,89.4,0,11.22524339
0,debt_consolidation,28000,1,68.1,0,11.46163217
0,debt_consolidation,30000,0,94,0,11.28978191
0,debt_consolidation,16000,2,89.7,0,10.91508846
0,credit_card,14500,1,46.7,0,11.40756495
0,credit_card,11700,1,39.8,0,11.13458902
0,debt_consolidation,4150,0,25,0,11.51292546
0,debt_consolidation,15000,0,67.8,0,11.1844214
0,credit_card,24000,0,91.2,0,11.15625052
1,other,21250,1,69.3,0,10.51867319
0,debt_consolidation,10000,1,71.3,0,11.22524339
0,debt_consolidation,25000,0,72,0,11.22524339
0,debt_consolidation,4000,2,93.5,0,10.57131693
0,debt_consolidation,15000,0,70.8,0,11.00209984
0,credit_card,20000,0,79.3,0,11.12726298
0,home_improvement,15000,1,81.2,0,11.60823564
0,moving,3600,1,52.2,0,10.59663473
0,debt_consolidation,6000,1,93,0,10.34174248
1,debt_consolidation,15000,2,75.2,0,11.00209984
0,credit_card,12000,1,45.4,0,10.66895539
0,debt_consolidation,12375,2,52.1,0,10.6454249
1,home_improvement,4000,1,5.5,0,10.30895266
0,debt_consolidation,13000,0,40.6,0,10.81977828
0,home_improvement,5000,1,18.5,0,10.58141957
0,credit_card,5000,1,53.3,0,11.49272276
0,credit_card,26000,3,94.8,0,11.04292184
0,credit_card,15000,2,85.5,0,11.46163217
1,house,4000,3,22.4,1,10.71441777
0,debt_consolidation,8000,2,34.1,0,10.3859137
0,debt_consolidation,16000,1,66.2,0,10.81977828
0,debt_consolidation,20000,0,15.4,0,11.65265262
1,debt_consolidation,12000,1,60.2,0,10.90411943
0,credit_card,7000,0,84.1,0,11.19547123
1,debt_consolidation,8000,1,95,0,10.65725935
0,debt_consolidation,13000,1,92.1,0,11.01862914
1,debt_consolidation,13000,1,93.3,0,10.23995979
0,debt_consolidation,20000,2,75.5,0,11.69524702
0,debt_consolidation,18000,0,46.6,0,11.47210347
0,credit_card,10000,1,92,0,11.32900263
0,debt_consolidation,22250,1,77.7,0,10.71441777
1,debt_consolidation,24000,1,25.3,0,11.13908983
1,car,11200,0,74.4,0,11.22524339
0,other,7000,0,94.8,0,10.858999
0,house,8000,0,12.4,0,10.96127785
0,credit_card,22500,0,84.5,0,10.78931908
0,debt_consolidation,12000,1,88.5,0,11.46163217
0,debt_consolidation,22000,1,92.3,0,10.96819829
0,credit_card,6200,1,55.2,0,10.08580911
0,debt_consolidation,15900,1,64.5,0,10.96819829
0,other,16000,1,3.2,0,11.55214618
0,car,5000,1,61.8,0,10.46310334
0,vacation,3150,3,28.2,0,10.87804719
1,credit_card,12000,1,68.5,0,10.23995979
